,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,costfor2,type,city
16790,1,0,3.9,150,22,30,1909,778,300.0,2,10
16791,1,1,4.5,247,41,20,3726,1014,1300.0,2,10
16792,1,0,3.9,205,22,14,5161,357,600.0,2,10
16793,1,1,4.4,190,40,13,3869,333,1000.0,2,10
16794,1,0,3.7,197,22,62,4336,1581,400.0,2,10
16797,1,0,4.3,1099,22,62,730,1683,450.0,2,10
16799,1,1,4.2,1004,6,20,2847,725,1200.0,2,10
16800,1,0,3.9,70,22,69,3443,1128,200.0,2,10
16802,1,0,3.7,310,22,20,1882,198,600.0,2,10
16803,1,0,3.9,170,22,29,1839,1163,400.0,2,10
16804,1,0,4.3,1101,22,13,3900,420,700.0,2,10
16805,1,0,4.0,136,22,20,4655,627,750.0,2,10
16806,1,1,4.1,1324,22,20,4459,1326,800.0,2,10
16807,1,0,4.2,258,71,20,3486,1461,700.0,2,10
16808,1,1,3.8,157,6,20,5065,528,600.0,2,10
16809,1,0,4.1,60,39,13,3489,452,600.0,2,10
16810,1,0,4.4,1288,22,62,4928,1163,400.0,2,10
16811,1,0,3.7,829,22,20,4955,1085,850.0,2,10
16813,1,0,4.3,219,38,62,111,1081,300.0,2,10
16815,1,0,4.4,792,22,13,3915,376,700.0,2,10
16816,1,1,4.4,1799,41,20,3787,1688,1000.0,2,10
16818,1,0,4.1,163,22,30,5191,772,400.0,2,10
16819,1,0,4.3,372,22,20,3685,30,700.0,2,10
16822,1,0,3.7,94,22,62,3363,1188,400.0,2,10
16823,1,0,3.9,337,22,62,2661,1203,500.0,2,10
16824,1,1,4.0,535,22,20,2574,1163,600.0,2,10
16825,1,0,4.0,603,22,20,3583,124,800.0,2,10
16826,1,0,4.0,74,6,17,5153,434,600.0,2,10
16827,1,0,4.0,236,6,20,776,1163,950.0,2,10
16828,1,1,4.0,942,71,57,2673,671,1300.0,2,10
16829,1,1,4.0,803,22,13,142,463,700.0,2,10
16830,1,1,4.5,1878,38,21,2479,1438,1200.0,2,10
16831,1,0,4.2,236,71,62,4873,221,150.0,2,10
16832,1,0,3.8,46,71,20,4593,1550,600.0,2,10
16833,1,0,2.4,438,22,20,1191,522,1000.0,2,10
16834,1,1,4.0,281,41,21,276,806,1500.0,2,10
16835,1,1,4.2,1884,22,49,3396,894,1500.0,2,10
16836,1,0,3.9,450,22,20,4085,1216,550.0,2,10
16838,1,1,4.0,150,39,20,428,708,1100.0,2,10
16843,0,0,3.8,196,38,29,3204,843,500.0,2,10
16849,1,1,4.2,860,22,16,4898,511,800.0,3,10
16850,1,1,4.4,3764,22,22,131,1478,600.0,3,10
16851,1,0,4.3,229,22,0,5077,181,500.0,3,10
16852,1,1,4.0,82,22,17,2682,432,500.0,3,10
16853,0,0,4.4,790,22,30,2338,962,400.0,3,10
16855,1,0,4.2,141,22,13,1671,384,800.0,3,10
16856,1,0,4.5,144,22,30,5148,778,400.0,3,10
16857,1,1,4.1,720,22,13,3846,419,950.0,3,10
16858,0,0,4.5,194,22,30,3438,962,200.0,3,10
16859,1,0,4.1,130,22,30,244,778,350.0,3,10
16860,1,0,3.8,151,22,70,4125,1128,400.0,3,10
16861,1,0,4.0,221,22,30,4509,965,400.0,3,10
16862,1,0,3.9,46,22,66,5180,652,300.0,3,10
16863,1,0,4.0,158,22,0,405,181,300.0,3,10
16864,1,0,3.9,46,22,30,469,212,400.0,3,10
16866,1,0,3.8,139,22,30,2865,794,500.0,3,10
16867,1,0,3.9,205,22,14,5161,357,600.0,3,10
16868,0,0,3.9,331,22,68,3437,1652,400.0,3,10
16869,1,0,3.9,44,22,13,2141,433,300.0,3,10
16870,1,0,4.1,163,22,30,5191,772,400.0,3,10
16871,1,0,3.9,102,22,30,5133,962,450.0,3,10
16872,0,0,4.1,116,22,62,3440,1650,200.0,3,10
16875,0,0,3.9,53,22,0,2162,175,100.0,3,10
16876,0,0,4.1,106,22,30,1784,774,300.0,3,10
16877,1,0,3.8,204,22,1,685,659,600.0,3,10
16878,1,0,3.7,93,22,0,552,181,350.0,3,10
16879,1,0,4.3,324,22,30,2303,962,180.0,3,10
16880,1,0,4.2,1022,22,30,3303,778,500.0,3,10
16885,1,0,3.9,75,22,30,5133,962,500.0,3,10
16887,1,0,3.6,154,22,0,3313,181,400.0,3,10
16892,0,0,2.6,56,22,29,1209,294,500.0,3,10
16893,0,0,3.9,56,22,13,5162,504,350.0,3,10
16896,1,0,4.0,153,22,0,1310,181,500.0,3,10
16897,1,0,4.0,92,22,30,829,955,100.0,3,10
16899,0,0,3.6,51,22,72,1822,1128,150.0,3,10
16900,1,0,3.7,175,22,72,3479,258,400.0,3,10
16901,1,0,4.1,398,22,30,2413,962,450.0,3,10
16905,1,0,3.8,34,22,63,1778,186,350.0,3,10
16907,0,0,4.0,104,22,30,4992,772,300.0,3,10
16908,0,0,3.8,63,22,13,1692,469,1000.0,3,10
16912,1,0,4.0,48,22,29,1323,181,500.0,3,10
16915,0,0,3.7,31,22,62,882,802,150.0,3,10
16941,1,0,3.9,230,22,30,4707,794,500.0,3,10
16942,1,0,3.9,150,22,30,1909,778,300.0,3,10
16943,1,0,3.7,90,22,0,1309,181,400.0,3,10
16947,1,1,4.1,1847,38,13,538,344,600.0,3,10
16948,1,0,4.1,314,38,72,635,939,650.0,3,10
16949,1,0,4.5,634,6,29,470,936,500.0,3,10
16950,1,0,4.0,75,38,0,1605,181,500.0,3,10
16951,0,1,3.0,74,7,20,3580,137,1200.0,3,10
16964,1,1,4.0,82,22,17,2682,432,500.0,4,10
16965,0,0,4.3,116,22,22,3223,159,800.0,4,10
16966,0,0,3.700511687126141,0,22,5,1424,1451,1200.0,4,10
16967,0,1,4.7,6745,22,21,2539,643,1000.0,4,10
16968,1,0,4.4,792,22,13,3915,376,700.0,4,10
16969,1,1,4.2,1884,22,49,3396,894,1500.0,4,10
16970,1,1,4.3,797,22,5,1510,141,1500.0,4,10
16971,0,1,4.7,3573,22,4,4713,645,1000.0,4,10
16972,1,1,4.2,1149,22,20,4757,1024,1800.0,4,10
16973,1,1,4.4,3764,22,22,131,1478,600.0,4,10
16974,0,1,4.6,766,22,46,1500,543,1200.0,4,10
16975,0,1,4.6,634,22,7,2832,688,850.0,4,10
16976,0,1,4.3,331,22,5,1472,1319,1400.0,4,10
16977,1,0,4.5,196,22,20,4687,1082,1200.0,4,10
16978,1,0,4.3,790,22,20,4766,168,1000.0,4,10
16979,1,0,4.2,583,22,20,3831,1307,550.0,4,10
16980,0,0,4.6,1582,22,13,732,337,750.0,4,10
16981,0,0,4.2,1383,22,21,5236,746,1100.0,4,10
16982,1,1,4.1,1324,22,20,4459,1326,800.0,4,10
16983,1,0,4.5,2069,22,20,655,1636,1200.0,4,10
16984,1,0,4.3,1101,22,13,3900,420,700.0,4,10
16985,0,1,4.1,1372,22,5,4042,732,900.0,4,10
16986,0,0,3.700511687126141,0,22,57,3814,899,1250.0,4,10
16987,1,1,4.0,558,22,20,769,1382,1000.0,4,10
16988,1,0,3.9,125,22,20,322,302,600.0,4,10
16989,0,1,3.9,1554,22,20,2925,1163,750.0,4,10
16990,0,1,4.1,512,22,21,1579,1132,1200.0,4,10
16991,0,0,4.0,917,22,20,3520,1163,800.0,4,10
16992,0,0,4.0,1829,22,20,2733,1163,800.0,4,10
16995,1,0,3.9,400,22,20,1927,606,850.0,4,10
16996,1,0,4.3,372,22,20,3685,30,700.0,4,10
16997,1,1,4.1,733,22,13,5226,406,1200.0,4,10
16999,1,0,4.0,437,22,20,936,1265,600.0,4,10
17000,1,0,4.2,141,22,13,1671,384,800.0,4,10
17001,1,0,3.7,829,22,20,4955,1085,850.0,4,10
17002,1,0,3.9,148,22,69,3730,1128,200.0,4,10
17003,0,1,3.8,320,22,20,3372,954,800.0,4,10
17005,0,0,4.0,648,22,20,2155,758,750.0,4,10
17006,1,1,4.0,403,22,20,2300,1565,800.0,4,10
17007,1,1,4.1,720,22,13,3846,419,950.0,4,10
17008,1,0,4.1,93,22,20,1238,995,700.0,4,10
17009,1,1,4.1,1060,22,21,3656,998,1200.0,4,10
17010,1,1,3.8,1166,22,20,1964,1063,600.0,4,10
17011,1,1,4.1,1338,22,20,2580,1382,800.0,4,10
17013,1,1,3.9,161,22,24,3445,1303,900.0,4,10
17014,1,1,4.0,535,22,20,2574,1163,600.0,4,10
17015,1,0,4.0,128,22,13,663,460,650.0,4,10
17016,1,1,3.9,602,22,20,4604,1098,1000.0,4,10
17017,1,1,3.9,880,22,20,3375,1163,1000.0,4,10
17018,1,0,3.8,151,22,70,4125,1128,400.0,4,10
17019,1,0,3.9,368,22,20,47,50,550.0,4,10
17020,1,0,4.1,439,22,13,1771,395,750.0,4,10
17021,1,0,4.2,78,22,20,2280,269,400.0,4,10
17022,1,0,4.0,603,22,20,3583,124,800.0,4,10
17023,0,0,3.9,338,22,20,3334,1203,500.0,4,10
17024,1,0,4.0,987,22,20,2819,1163,500.0,4,10
17025,1,1,3.7,112,22,20,792,1203,800.0,4,10
17027,1,0,4.0,492,22,20,2946,529,800.0,4,10
17028,1,0,4.1,564,22,13,676,349,600.0,4,10
17029,1,0,4.0,988,22,20,3314,239,800.0,4,10
17031,1,0,3.9,1245,22,21,1595,1108,1400.0,4,10
17032,1,1,3.8,499,22,16,2639,392,700.0,4,10
17033,1,0,3.8,115,22,20,2287,1342,800.0,4,10
17034,1,0,3.9,117,22,20,4577,304,900.0,4,10
17035,1,1,4.0,803,22,13,142,463,700.0,4,10
17036,1,0,3.9,3833,22,20,3121,1409,750.0,4,10
17037,1,0,2.9,361,22,20,750,1204,450.0,4,10
17038,1,0,3.9,44,22,13,2141,433,300.0,4,10
17040,1,0,3.6,484,22,16,1700,477,700.0,4,10
17041,1,0,4.1,131,22,20,3138,1163,650.0,4,10
17043,0,0,3.8,157,22,47,1600,696,1300.0,4,10
17044,1,0,3.3,292,22,20,4110,209,600.0,4,10
17045,0,0,3.6,289,22,20,1109,43,500.0,4,10
17047,1,1,3.9,224,22,20,5105,1292,800.0,4,10
17049,1,0,3.7,86,22,20,2948,611,500.0,4,10
17050,1,0,3.9,185,22,20,265,570,600.0,4,10
17051,1,1,3.5,59,22,20,1739,1286,700.0,4,10
17052,1,0,2.8,484,22,20,2769,1609,400.0,4,10
17053,1,1,3.9,202,22,13,1737,493,500.0,4,10
17054,1,0,3.6,777,22,20,4910,606,500.0,4,10
17057,1,0,3.6,121,22,20,4322,1568,550.0,4,10
17058,1,0,3.9,668,22,20,4646,293,800.0,4,10
17060,1,0,3.9,716,22,20,235,983,1000.0,4,10
17063,0,0,2.6,49,22,13,4450,437,450.0,4,10
17064,0,0,3.9,371,22,20,5024,1597,400.0,4,10
17065,0,0,3.7,532,22,20,4005,1607,250.0,4,10
17066,0,0,2.9,304,22,20,2836,518,650.0,4,10
17067,1,0,3.1,266,22,20,1091,518,550.0,4,10
17070,1,0,3.5,166,22,20,39,68,700.0,4,10
17071,1,0,3.4,212,22,20,3016,1265,800.0,4,10
17072,1,0,3.9,450,22,20,4085,1216,550.0,4,10
17073,0,0,3.6,95,22,20,349,64,800.0,4,10
17074,1,0,3.2,68,22,20,1386,1629,400.0,4,10
17076,1,0,2.8,188,22,20,3377,1203,400.0,4,10
17079,1,0,3.7,141,22,20,1031,54,500.0,4,10
17081,1,0,2.8,261,22,20,4031,1046,700.0,4,10
17082,1,0,3.1,102,22,13,1689,467,650.0,4,10
17083,1,1,4.0,390,22,16,3671,422,1300.0,4,10
17086,1,0,3.8,258,22,20,3101,1563,550.0,4,10
17087,0,0,2.5,113,22,13,727,333,550.0,4,10
17089,1,0,4.0,136,22,20,4655,627,750.0,4,10
17091,1,0,3.7,59,22,13,2750,444,600.0,4,10
17094,1,0,3.7,76,22,20,2929,567,700.0,4,10
17096,1,0,3.9,337,22,62,2661,1203,500.0,4,10
17097,1,1,3.4,411,22,20,1150,1382,750.0,4,10
17098,1,1,4.0,127,22,20,1001,1397,900.0,4,10
17101,0,0,3.8,63,22,13,1692,469,1000.0,4,10
17105,1,0,3.9,92,22,12,491,1662,250.0,4,10
17106,1,0,3.5,117,22,20,1164,58,600.0,4,10
17107,1,0,4.0,64,22,20,4853,1601,300.0,4,10
17114,0,0,3.7,38,22,20,3694,695,600.0,4,10
17120,1,0,3.0,39,22,20,4329,1163,450.0,4,10
17121,0,0,3.5,136,22,20,313,1203,600.0,4,10
17131,1,0,3.9,356,22,20,821,1274,450.0,4,10
17132,1,1,3.9,533,22,20,48,76,900.0,4,10
17133,1,0,3.1,248,22,20,2304,522,500.0,4,10
17134,1,0,2.4,438,22,20,1191,522,1000.0,4,10
17135,1,0,3.8,88,22,20,2667,640,600.0,4,10
17138,0,0,3.7,86,22,13,1620,459,500.0,4,10
17140,1,0,3.7,310,22,20,1882,198,600.0,4,10
17142,1,0,4.4,1288,22,62,4928,1163,400.0,4,10
17143,1,0,4.2,70,22,62,3808,1477,400.0,4,10
17144,1,0,4.3,1099,22,62,730,1683,450.0,4,10
17145,1,0,4.0,54,22,62,3871,1141,500.0,4,10
17146,1,0,3.6,218,22,62,3042,253,400.0,4,10
17147,1,1,3.9,46,22,62,860,1641,300.0,4,10
17148,1,0,3.9,54,22,64,626,317,250.0,4,10
17149,1,0,3.6,622,22,62,548,323,400.0,4,10
17150,1,0,4.0,769,22,62,2585,1254,500.0,4,10
17152,0,0,4.4,222,22,62,2426,1557,150.0,4,10
17153,1,0,3.7,94,22,62,3363,1188,400.0,4,10
17154,1,0,4.1,842,22,62,4139,1605,300.0,4,10
17155,1,0,3.9,60,22,62,4798,1343,400.0,4,10
17156,0,0,4.1,110,22,62,4150,1118,400.0,4,10
17157,1,0,3.9,355,22,62,4303,1197,500.0,4,10
17158,1,0,4.2,162,22,62,1015,236,300.0,4,10
17161,1,0,4.0,221,22,30,4509,965,400.0,4,10
17163,1,0,3.9,46,22,66,5180,652,300.0,4,10
17164,1,0,3.8,331,22,62,3022,1163,350.0,4,10
17165,1,0,3.8,77,22,62,4951,1470,350.0,4,10
17166,1,0,3.9,48,22,62,473,826,400.0,4,10
17167,1,0,3.1,282,22,62,1140,1363,500.0,4,10
17171,1,0,3.9,236,22,62,2222,1388,400.0,4,10
17172,1,0,3.9,783,22,62,3451,1203,300.0,4,10
17173,1,0,3.9,106,22,62,250,1557,150.0,4,10
17175,0,0,3.9,331,22,68,3437,1652,400.0,4,10
17176,1,0,3.9,460,22,62,4814,263,600.0,4,10
17177,1,0,3.8,83,22,62,316,580,400.0,4,10
17178,1,0,3.8,510,22,62,1704,323,500.0,4,10
17180,1,0,3.9,113,22,62,722,324,600.0,4,10
17181,1,0,3.9,261,22,62,4045,1225,400.0,4,10
17182,1,0,3.8,278,22,62,4171,236,200.0,4,10
17184,1,0,3.5,234,22,62,1742,1610,400.0,4,10
17187,1,0,3.8,251,22,62,3866,1484,400.0,4,10
17188,1,0,3.9,163,22,62,1645,1607,300.0,4,10
17189,0,0,4.1,116,22,62,3440,1650,200.0,4,10
17190,0,0,2.8,227,22,62,986,267,500.0,4,10
17191,1,0,4.1,672,22,62,1983,1008,450.0,4,10
17192,1,0,4.0,164,22,62,3795,86,500.0,4,10
17193,1,0,3.9,340,22,62,2104,1592,400.0,4,10
17194,1,0,3.9,50,22,62,3106,198,450.0,4,10
17197,1,0,3.8,61,22,62,3425,108,400.0,4,10
17199,0,0,4.0,60,22,62,1069,96,400.0,4,10
17200,1,0,3.9,88,22,62,4499,822,250.0,4,10
17201,1,0,3.8,190,22,62,5037,1583,250.0,4,10
17202,1,0,3.1,382,22,62,5083,1517,600.0,4,10
17205,0,0,3.9,689,22,62,929,882,300.0,4,10
17206,1,0,3.8,63,22,62,4718,64,500.0,4,10
17207,1,0,3.8,90,22,62,2974,1242,400.0,4,10
17209,1,0,3.8,204,22,1,685,659,600.0,4,10
17211,1,0,4.1,119,22,62,2798,1588,200.0,4,10
17213,0,0,3.8,184,22,62,4568,1163,250.0,4,10
17214,1,0,3.2,571,22,62,2473,1651,300.0,4,10
17215,1,0,3.7,197,22,62,4336,1581,400.0,4,10
17216,1,0,3.8,283,22,62,1005,287,400.0,4,10
17218,0,0,3.7,446,22,62,2439,1607,400.0,4,10
17219,1,0,3.1,131,22,62,3479,1225,400.0,4,10
17224,1,0,3.6,123,22,62,3548,1292,300.0,4,10
17231,1,0,3.8,347,22,62,4309,1163,300.0,4,10
17232,1,0,3.1,452,22,62,5003,1484,750.0,4,10
17237,1,0,3.4,179,22,62,922,1648,300.0,4,10
17238,0,0,3.6,218,22,62,4259,873,300.0,4,10
17242,0,0,3.5,40,22,62,3948,1008,700.0,4,10
17243,0,0,2.6,91,22,62,1747,1557,200.0,4,10
17247,1,0,3.8,171,22,62,5042,593,400.0,4,10
17251,1,0,3.8,80,22,62,3949,1475,800.0,4,10
17252,1,0,3.8,211,22,62,4514,1033,200.0,4,10
17261,0,0,3.7,40,22,62,855,1642,150.0,4,10
17262,1,0,3.7,83,22,62,3829,266,350.0,4,10
17273,1,0,2.7,140,22,62,2596,1163,250.0,4,10
17290,0,0,3.7,41,22,62,984,42,500.0,4,10
17325,0,0,3.6,155,22,62,938,1206,500.0,4,10
17326,0,0,3.9,89,22,62,2729,871,300.0,4,10
17328,0,0,2.8,114,22,62,368,283,500.0,4,10
17345,1,0,3.8,174,22,62,1099,1485,400.0,4,10
17346,1,0,3.8,59,22,62,2432,1557,200.0,4,10
17347,0,0,3.7,68,22,64,4375,218,400.0,4,10
17355,1,0,3.8,192,22,62,910,1654,250.0,4,10
17363,1,1,4.3,4108,71,21,4589,1537,1400.0,4,10
17364,0,1,4.5,1508,71,57,308,710,1900.0,4,10
17365,0,1,4.4,366,40,18,1495,335,1000.0,4,10
17366,0,1,4.7,3614,38,20,1531,1332,1600.0,4,10
17367,0,1,4.6,178,71,5,1591,916,1500.0,4,10
17368,1,1,4.1,1847,38,13,538,344,600.0,4,10
17369,1,1,4.3,715,71,20,3657,1008,1500.0,4,10
17370,1,1,4.4,190,40,13,3869,333,1000.0,4,10
17371,0,1,4.1,238,71,37,5225,769,2000.0,4,10
17372,1,0,4.2,258,71,20,3486,1461,700.0,4,10
17373,1,0,3.9,374,38,20,5096,267,750.0,4,10
17374,1,1,4.1,326,71,26,1534,3,1200.0,4,10
17375,1,0,3.8,240,7,20,265,42,800.0,4,10
17377,1,0,3.8,272,7,20,2656,70,550.0,4,10
17379,1,0,3.8,93,38,20,4581,1260,550.0,4,10
17380,1,1,3.2,427,19,20,53,1233,900.0,4,10
17382,1,0,4.0,754,24,62,2618,1163,250.0,4,10
17383,1,0,3.0,255,7,20,3191,287,550.0,4,10
17385,0,1,3.0,74,7,20,3580,137,1200.0,4,10
17391,1,0,3.9,121,38,62,1042,1216,400.0,4,10
17392,0,0,3.7,51,7,4,4358,901,1500.0,4,10
17394,1,0,4.0,269,38,62,3974,1214,450.0,4,10
17405,1,0,3.6,95,38,62,3737,1342,300.0,4,10
17408,1,0,2.8,137,38,62,4332,1163,500.0,4,10
17410,0,1,3.9,52,71,46,1423,771,1900.0,4,10
17413,1,0,3.9,95,38,62,2386,1334,350.0,4,10
17414,1,0,3.6,96,38,62,2756,1045,300.0,4,10
17427,1,0,3.3,910,38,62,2457,1184,250.0,4,10
17455,1,0,2.6,473,0,62,3793,1008,600.0,4,10
17457,0,0,3.7,46,38,62,2033,1597,300.0,4,10
17473,0,0,4.0,65,38,62,1214,567,350.0,4,10
17481,1,0,3.1,53,38,62,3982,822,100.0,4,10
17482,1,0,2.3,298,7,62,4087,287,450.0,4,10
17485,0,1,4.7,3573,22,4,4713,645,1000.0,5,10
17486,0,0,3.700511687126141,0,22,5,1424,1451,1200.0,5,10
17487,0,1,4.7,6745,22,21,2539,643,1000.0,5,10
17488,1,1,4.2,1884,22,49,3396,894,1500.0,5,10
17489,1,1,4.3,797,22,5,1510,141,1500.0,5,10
17490,0,1,4.6,634,22,7,2832,688,850.0,5,10
17491,0,1,4.3,331,22,5,1472,1319,1400.0,5,10
17492,0,0,4.2,1383,22,21,5236,746,1100.0,5,10
17493,0,1,4.1,1372,22,5,4042,732,900.0,5,10
17495,0,1,4.5,1508,71,57,308,710,1900.0,5,10
17496,0,1,4.4,366,40,18,1495,335,1000.0,5,10
17497,1,1,4.1,326,71,26,1534,3,1200.0,5,10
17498,0,0,3.7,51,7,4,4358,901,1500.0,5,10
17499,0,0,3.700511687126141,0,22,5,1424,1451,1200.0,6,10
17500,0,1,4.7,3573,22,4,4713,645,1000.0,6,10
17501,0,1,4.6,634,22,7,2832,688,850.0,6,10
17502,0,1,4.7,6745,22,21,2539,643,1000.0,6,10
17503,1,1,4.3,797,22,5,1510,141,1500.0,6,10
17504,0,1,4.3,331,22,5,1472,1319,1400.0,6,10
17505,0,0,4.2,1383,22,21,5236,746,1100.0,6,10
17506,0,1,4.1,1372,22,5,4042,732,900.0,6,10
17507,0,1,4.1,512,22,21,1579,1132,1200.0,6,10
17508,1,1,4.1,1060,22,21,3656,998,1200.0,6,10
17509,1,0,3.9,1245,22,21,1595,1108,1400.0,6,10
17510,0,0,3.8,157,22,47,1600,696,1300.0,6,10
17512,1,1,4.3,4108,71,21,4589,1537,1400.0,6,10
17513,0,1,4.5,1508,71,57,308,710,1900.0,6,10
17514,0,1,4.6,178,71,5,1591,916,1500.0,6,10
17515,1,1,4.1,326,71,26,1534,3,1200.0,6,10
17518,0,0,3.7,51,7,4,4358,901,1500.0,6,10
17521,0,1,4.0,773,26,25,275,1148,1000.0,0,11
17522,1,1,3.9,847,26,20,3111,1181,1200.0,0,11
17523,0,1,4.7,9021,58,61,204,16,1800.0,0,11
17524,0,1,4.7,7152,26,20,3095,1332,1600.0,0,11
17525,0,1,4.3,3586,26,49,1530,628,2100.0,0,11
17526,1,1,4.1,840,26,20,5129,1229,1200.0,0,11
17527,1,1,4.4,1507,26,20,148,560,1700.0,0,11
17528,1,1,4.3,3275,26,20,3601,1012,1400.0,0,11
17529,1,1,4.4,1414,26,21,2170,1163,1100.0,0,11
17530,1,1,4.5,1614,26,20,3659,1014,1300.0,0,11
17531,0,1,4.1,1224,26,20,4002,1570,800.0,0,11
17532,1,1,3.9,1432,26,20,3374,1163,1000.0,0,11
17533,0,0,4.3,1651,26,16,3725,411,1300.0,0,11
17534,1,0,4.2,8176,26,20,1937,1409,750.0,0,11
17535,1,1,4.4,79,26,20,1593,133,1600.0,0,11
17536,1,0,4.0,555,26,20,2453,1284,900.0,0,11
17537,1,1,4.2,1345,26,20,3796,1077,1700.0,0,11
17538,0,1,4.3,504,26,20,3353,1557,1100.0,0,11
17539,1,1,4.1,80,26,20,1407,1188,1200.0,0,11
17540,1,1,4.0,1013,26,20,1342,1163,1200.0,0,11
17541,0,0,3.9,434,26,20,2023,1557,400.0,0,11
17542,1,1,3.6,592,26,20,3332,246,850.0,0,11
17543,1,1,3.8,297,26,20,3468,1229,1200.0,0,11
17545,1,1,4.2,217,16,20,218,813,1500.0,0,11
17546,0,0,4.0,115,16,21,4512,1312,1700.0,0,11
17547,1,0,2.9,319,16,20,1962,1259,1000.0,0,11
17548,0,0,3.4,46,16,20,2212,1163,1100.0,0,11
17549,0,1,4.2,589,58,37,4356,1351,3500.0,0,11
17550,0,0,4.6,979,49,37,4649,1664,3000.0,0,11
17551,1,1,4.0,1904,49,20,4386,1673,2100.0,0,11
17552,0,1,4.3,145,78,37,3646,18,2800.0,0,11
17553,0,1,4.0,420,58,37,4637,721,2200.0,0,11
17554,0,0,4.3,687,49,37,419,817,3000.0,0,11
17555,1,1,4.0,419,58,21,4129,547,1400.0,0,11
17556,0,1,4.2,405,58,20,4426,84,1500.0,0,11
17557,0,1,4.2,271,49,37,4363,1000,3000.0,0,11
17561,1,1,4.3,1235,26,14,2361,391,1000.0,1,11
17562,0,0,4.6,1308,26,16,651,339,900.0,1,11
17563,0,0,4.4,1095,26,17,1616,428,800.0,1,11
17564,1,0,4.2,5295,26,1,1705,179,600.0,1,11
17565,1,0,4.2,1852,26,13,2918,384,800.0,1,11
17566,1,0,4.6,1687,26,33,2352,786,900.0,1,11
17567,1,1,4.3,4644,26,22,153,1478,600.0,1,11
17568,1,0,4.3,1269,26,16,3827,457,1000.0,1,11
17569,1,0,4.2,1203,26,13,4416,452,600.0,1,11
17570,0,0,4.3,1651,26,16,3725,411,1300.0,1,11
17571,0,0,4.5,197,26,13,606,360,600.0,1,11
17572,0,0,3.700511687126141,0,26,13,2179,496,1100.0,1,11
17573,1,0,4.4,105,26,13,2259,510,200.0,1,11
17574,1,0,4.2,391,26,13,1978,402,500.0,1,11
17575,1,0,4.5,2687,26,33,4989,960,550.0,1,11
17577,1,0,4.3,391,26,13,540,342,700.0,1,11
17578,0,0,4.2,311,26,13,5198,400,800.0,1,11
17579,1,0,4.3,153,26,13,3392,449,600.0,1,11
17580,1,1,3.9,1380,26,13,1972,456,900.0,1,11
17581,1,1,4.3,766,26,22,1686,661,1000.0,1,11
17582,0,0,4.2,583,26,13,5199,428,700.0,1,11
17583,1,0,4.3,371,26,30,1412,1644,400.0,1,11
17584,0,0,4.2,858,26,13,1721,333,600.0,1,11
17585,0,0,4.0,861,26,33,1183,776,800.0,1,11
17586,1,0,4.3,420,26,33,2218,784,400.0,1,11
17587,1,1,4.0,144,26,13,2247,464,700.0,1,11
17588,1,0,4.0,399,26,13,665,460,650.0,1,11
17589,1,0,4.1,1141,26,16,2990,416,500.0,1,11
17590,0,0,4.2,583,26,13,1656,428,700.0,1,11
17591,1,0,3.9,84,26,13,647,840,450.0,1,11
17592,1,1,4.0,209,26,13,681,476,800.0,1,11
17593,1,0,3.9,660,26,13,3992,512,500.0,1,11
17594,1,0,4.3,184,26,62,619,367,650.0,1,11
17595,1,1,4.0,339,26,62,720,656,800.0,1,11
17596,0,1,4.1,287,26,13,4884,333,850.0,1,11
17597,1,0,4.1,332,26,22,642,664,800.0,1,11
17599,1,0,4.1,137,26,13,1870,348,750.0,1,11
17600,0,0,2.9,539,26,33,4478,785,500.0,1,11
17601,1,0,4.1,114,26,14,974,351,450.0,1,11
17603,0,0,3.4,90,26,13,3702,384,500.0,1,11
17604,1,0,3.8,71,26,13,2244,333,500.0,1,11
17605,0,0,3.9,155,26,13,1708,384,700.0,1,11
17606,0,0,3.8,209,26,13,840,437,500.0,1,11
17607,0,0,4.0,97,26,16,3347,1516,1100.0,1,11
17608,1,0,3.7,72,26,13,1613,437,900.0,1,11
17609,0,0,3.9,49,26,13,2475,333,200.0,1,11
17610,1,0,2.8,185,26,13,4497,402,500.0,1,11
17611,0,0,3.7,69,26,13,2331,384,700.0,1,11
17612,1,0,2.4,127,26,13,597,440,600.0,1,11
17614,1,0,2.9,48,26,1,4454,177,500.0,1,11
17615,0,0,4.0,134,26,17,4528,431,600.0,1,11
17618,1,0,3.0,59,26,13,2924,480,500.0,1,11
17620,0,1,3.9,1717,16,48,1756,754,1600.0,1,11
17621,0,0,4.0,282,31,13,1612,333,500.0,1,11
17631,1,1,4.4,688,49,22,705,8,1700.0,1,11
17632,0,1,4.1,563,49,22,3373,1356,2500.0,1,11
17634,1,0,4.2,430,78,14,1634,482,700.0,1,11
17636,1,0,3.8,135,58,33,3387,790,700.0,1,11
17640,1,0,3.8,259,49,13,1727,333,700.0,1,11
17642,1,0,4.4,845,26,29,4537,936,500.0,2,11
17643,1,0,4.2,770,26,62,2429,1601,300.0,2,11
17644,1,0,4.0,450,26,62,868,1648,300.0,2,11
17645,1,0,4.0,472,26,62,3757,236,300.0,2,11
17646,1,0,4.4,105,26,13,2259,510,200.0,2,11
17647,1,0,3.8,138,58,20,2088,239,800.0,2,11
17650,1,0,4.3,314,26,72,3481,1399,500.0,2,11
17651,1,0,3.9,224,31,20,1004,53,600.0,2,11
